Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"R10"	,"0603WAF5101T5E"	,"R0603"	,"50.696mm"	,"-24.724mm"	,"50.696mm"	,"-24.724mm"	,"49.943mm"	,"-24.724mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R12"	,"RC0603FR-071KL"	,"R0603"	,"43.965mm"	,"-43.012mm"	,"43.965mm"	,"-43.012mm"	,"43.965mm"	,"-42.258mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R14"	,"0603WAF5101T5E"	,"R0603"	,"46.124mm"	,"-37.17mm"	,"46.124mm"	,"-37.17mm"	,"45.371mm"	,"-37.17mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R16"	,"RC0603FR-071KL"	,"R0603"	,"39.52mm"	,"-29.042mm"	,"39.52mm"	,"-29.042mm"	,"39.52mm"	,"-28.288mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R18"	,"0603WAF5101T5E"	,"R0603"	,"41.806mm"	,"-24.724mm"	,"41.806mm"	,"-24.724mm"	,"41.053mm"	,"-24.724mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R20"	,"RC0603FR-071KL"	,"R0603"	,"30.757mm"	,"-29.423mm"	,"30.757mm"	,"-29.423mm"	,"30.757mm"	,"-28.669mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R22"	,"0603WAF5101T5E"	,"R0603"	,"33.17mm"	,"-24.597mm"	,"33.17mm"	,"-24.597mm"	,"32.417mm"	,"-24.597mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R24"	,"RC0603FR-071KL"	,"R0603"	,"25.931mm"	,"-41.869mm"	,"25.931mm"	,"-41.869mm"	,"25.931mm"	,"-41.115mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R26"	,"0603WAF5101T5E"	,"R0603"	,"28.217mm"	,"-37.297mm"	,"28.217mm"	,"-37.297mm"	,"27.464mm"	,"-37.297mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R28"	,"RC0603FR-071KL"	,"R0603"	,"21.613mm"	,"-28.915mm"	,"21.613mm"	,"-28.915mm"	,"21.613mm"	,"-28.161mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R30"	,"0603WAF5101T5E"	,"R0603"	,"23.772mm"	,"-24.597mm"	,"23.772mm"	,"-24.597mm"	,"23.019mm"	,"-24.597mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R32"	,"RC0603FR-071KL"	,"R0603"	,"12.85mm"	,"-29.296mm"	,"12.85mm"	,"-29.296mm"	,"12.85mm"	,"-28.542mm"	,"T"	,"-90"	,"Yes"	,"1K"	,
"R34"	,"0603WAF5101T5E"	,"R0603"	,"15.009mm"	,"-24.724mm"	,"15.009mm"	,"-24.724mm"	,"14.256mm"	,"-24.724mm"	,"T"	,"0"	,"Yes"	,"5.1kΩ"	,
"R35"	,"0603WAF4702T5E"	,"R0603"	,"62.103mm"	,"-35.941mm"	,"62.103mm"	,"-35.941mm"	,"61.35mm"	,"-35.941mm"	,"T"	,"0"	,"Yes"	,"47kΩ"	,
"R36"	,"RC0603FR-0733KL"	,"R0603"	,"60.579mm"	,"-37.846mm"	,"60.579mm"	,"-37.846mm"	,"59.826mm"	,"-37.846mm"	,"T"	,"0"	,"Yes"	,"33K"	,
"R37"	,"RC0603FR-0733KL"	,"R0603"	,"34.798mm"	,"-37.338mm"	,"34.798mm"	,"-37.338mm"	,"34.045mm"	,"-37.338mm"	,"T"	,"0"	,"Yes"	,"33K"	,
"R38"	,"0603WAF4702T5E"	,"R0603"	,"36.322mm"	,"-35.56mm"	,"36.322mm"	,"-35.56mm"	,"35.569mm"	,"-35.56mm"	,"T"	,"0"	,"Yes"	,"47kΩ"	,
"R2"	,"RC0402FR-07240RL"	,"R0402"	,"58.697mm"	,"-26.502mm"	,"58.697mm"	,"-26.502mm"	,"59.13mm"	,"-26.502mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R4"	,"RC0402JR-076K8L"	,"R0402"	,"59.078mm"	,"-31.963mm"	,"59.078mm"	,"-31.963mm"	,"59.511mm"	,"-31.963mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R5"	,"ERJ2RKF1001X"	,"R0402"	,"55.626mm"	,"-90.297mm"	,"55.626mm"	,"-90.297mm"	,"55.193mm"	,"-90.297mm"	,"B"	,"0"	,"Yes"	,"1kΩ"	,
"R7"	,"RC0402JR-076K8L"	,"R0402"	,"51.204mm"	,"-31.963mm"	,"51.204mm"	,"-31.963mm"	,"51.637mm"	,"-31.963mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R9"	,"RC0402FR-07240RL"	,"R0402"	,"50.696mm"	,"-26.375mm"	,"50.696mm"	,"-26.375mm"	,"51.129mm"	,"-26.375mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R11"	,"RC0402JR-076K8L"	,"R0402"	,"46.632mm"	,"-43.901mm"	,"46.632mm"	,"-43.901mm"	,"47.065mm"	,"-43.901mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
